Item_name,Text,Type,Answers,Values,Optional,score: env_beh,btn_width,side_text,
env_beh14,I buy products made from recycled materials.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh15,"I buy products made from sustainable, natural or biodegradable materials.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh16,"I recycle as much as I possibly can (newspapers, cans, plastics and glass).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh17,I compost household food waste (my green kitchen waste is composted in the garden or at a municipal facility).,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh18,"I reuse household waste items that would otherwise go in the bin (e.g. jars, bottles, gift wrap).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh19,I purchase second-hand goods.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh20,"I buy and reuse items which have multiple uses (bags for life, reusable coffee cups/water bottles) and avoid single use items (such as disposable coffee cups, plastic bags, plastic water bottles).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh21,"I buy environmentally friendly alternatives to toxic products (e.g natural deodorant, organic produce) or avoid the chemical product altogether (e.g hairspray/growing own produce).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh22,I eat food which is locally or home grown/farmed.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh23,I eat food which is in season.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh24,"I actively look for recycling bins to dispose of recyclable items, including when I am out of my house and in public areas.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh25,I take initiative to find sustainable ways to dispose of not-locally recycled waste (e.g. terracycling products that would otherwise be binned).,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh26,I buy fairtrade and/or sustainably sourced food.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh27,I donate clothes and furniture to charity.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh28,"I reduce my food waste (donate food to charities, avoid buying too much food, home freezing etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh29,"I limit or reduce my consumption of animal products (dairy, poultry, fish, etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh30,"I eat sustainably sourced animal products (dairy, poultry, fish, etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh31,"I buy organic produce (e.g. food, toiletries, cosmetics).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
env_beh32,I buy goods and products from local or independent businesses rather than large corporations.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Almost never|Almost always,
,,,,,,,,,
