item_name,text,Type,Answers,Values,Score: sp3d,Optional,btn_width,
sp3d24,"I am less aware of feelings within my body, such as fatigue, being hungry or
needing to use the toilet",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d25,I like to spin and spin and never seem to get dizzy,likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d26,"I have an unusually persistent desire for fast movement activities like jumping,
swinging, spinning and running",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d27,"I have an unusual desire for deliberately falling or crashing into people/objects
throughout the day",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d28,"I like hearing my own voice; I may interrupt others, talk loudly, make odd noises
or talk excessively to myself",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d29,"Despite normal hearing, I like the volume on electronic devices high and/or I like
to make loud noises",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d30,"I have an unusual desire to look at bright, contrasting, moving, or spinning objects",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d31,I have an unusual desire to stare at people or objects,likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d32,"I have difficulty disengaging from touching certain kinds of objects/textures like
very smooth, bumpy and/or vibrating objects",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d33,I sometimes touch others to the point of irritating them,likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d34,I tend to put non-food items in my mouth; I sometimes chew on pencils or clothing and/or I lick objects,likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d35,"I have an unusual desire to smell people and/or objects like my significant other, or my hands after touching someone or something",likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
sp3d36,I have very strong food/taste preferences; I crave certain tastes/flavours,likert,Almost Never|Seldom|Occasionally|Frequently|Almost Always,1|2|3|4|5,1,No,100px,
,,,,,,,,
